Video_ID,Title,Published_date,Views,Likes,Comments
QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2267,115,34
rdo8YBasqqA,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5358,249,112
_rbrdNTpZGo,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8043,245,201
ELFGsNqZrlM,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1825,98,27
PWmxLYTixAM,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,26082,532,90
I3FBJdiExcg,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,235270,5649,388
hO_YKK_0Qck,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28502,1070,120
2KkrtG5IsHo,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3473,132,50
QQLToUlgN7A,The Best Computer for Data Science Beginners,2020-07-10,32976,792,156
6aaIbd-GpZs,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5992,227,84
lsXWVPzwZPk,Critiquing MY OWN Data Science Resume,2020-07-06,12014,386,92
AqPquogHwq0,Where to Start Learning Data Science,2020-07-03,17819,754,131
742LQ38OioU,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3878,195,37
B1g_yMKpdwo,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4406,174,54
zGlJ-QndG8E,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14685,523,79
6fwyyRgZlD0,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2311,81,40
-3d1NctSv0c,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2358,137,51
WnB1jsDu900,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4152,163,46
XjC3FPL-S78,Why You're Struggling to Learn Data Science,2020-06-12,14912,1000,159
txR8_jGi0Ls,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9930,311,70
4qZINLzwYyk,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21110,645,151
mR2NCRgtLPE,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5602,154,53
mEZ1Hj5yQ-8,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,57136,1890,263
HJH0gfY6EUg,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20811,487,81
BZFfNwj7JhE,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,49444,1757,176
_K6cNdgN3CI,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11021,174,55
1aXk2RViq3c,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,94971,3536,186
UcilY6HDuL8,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3083,146,115
jam0xApfC-U,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4266,149,74
4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1354558,48115,1998
QBIe4nbmZfA,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5069,186,42
KHAuuOQui2U,What You Need to Know for a Data Science Internship,2020-05-01,16818,985,60
DW55gaQ_Egk,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7939,341,57
lUUqrRgerd8,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14815,459,103
ei1m5lDQyBg,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2953,84,24
9D7GzskcyUk,5 Tips for Crushing the Work From Home Life,2020-04-20,5200,199,38
agHKuUoMwvY,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,15261,610,122
nUOh_lDMHOU,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,21995,613,95
7O4dpR9QMIM,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,33688,733,142
QWgg4w1SpJ8,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,57560,1617,201
fhi4dOhmW-g,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,60805,1481,257
GmW4F6MHqqs,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,88376,2733,614
MpF9HENQjDo,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,129288,3741,161
9ZwVqXUHf6o,When Data Science Goes Wrong,2020-03-30,1755,106,32
a3VWq9smqhM,How to ULTRALEARN Data Science,2020-03-27,59395,3720,168
oMdVg6GPODA,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4216,265,50
vy-R4oUZaC8,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11516,429,44
XGBigjVy2Eo,The Secret Data Scientists Don't Want You to Know,2020-03-16,10169,1103,107
hpMc6TgT34I,The 5 Stages of Learning Data Science,2020-03-13,16625,1252,78
Fs_LG5Y8GIU,Can You Learn Data Science Without a Computer?,2020-03-11,1311,98,14
Ip50cXvpWY4,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,325957,20374,610
imMPnCHvbkY,The Data Science Projects that Got Me a Job,2020-03-06,37481,1315,41
3bes4U4MHPg,How to Integrate Data Science into Your Business,2020-03-02,3044,118,18
qP0hRF-lGqg,The Problem with Data Science,2020-02-28,3594,150,21
aaAZXeuPIXk,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1064,45,16
C4OPn58BLaU,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,97200,1996,89
8igH8qZafpo,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,289070,16450,509
xjhW1rSQeik,Data Science Advice for College Students,2020-02-14,66863,1914,195
DM1eE_Coh6g,Avoid These Data Science Resume Mistakes!,2020-02-10,25595,1145,57
f6NPw582FFc,Data Science Explained with ... Cooking?,2020-02-07,4493,279,45
dlZWB2D-NaQ,The 4 Types of Sports Analytics Projects,2020-02-03,23017,794,60
foggudmDDvY,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,531,18,13
n3vw0M5RrPU,How I Learned Data Science,2020-01-27,90814,2596,210
2OnXytYziF0,What is Sports Analytics Really?,2020-01-20,16939,511,73
Q9FjwzKFPuM,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,102914,2912,577
VN12ZPFsApM,How To Learn Programming for Data Science [3 Steps],2020-01-13,28407,1911,98
WKXtTo7lqmA,Data Science Fundamentals: SQL Queries,2020-01-10,5620,201,34
9-2OKLZfvbE,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2685,136,14
3TrAYmrmA8o,The 9 Books That Changed My Perspective in 2019,2020-01-03,3221,179,23
5SjK6YCs4o4,The Data Science Interview: What to Expect,2019-12-30,7430,350,32
iqG59TqfFdY,5 Data Science Resolutions for 2020,2019-12-27,468,25,12
NCyPY-jfb3I,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13719,493,91
DopikusDfk0,Collision Course: Sports Betting + Data Science,2019-12-20,13142,407,26
m5pwx3hgtzM,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,98631,2882,214
74Z3F7i4qcI,5 Sports Analytics Books to Get You Started,2019-12-13,8883,332,55
zSwM5uVeylU,Math Needed for Mastering Data Science,2019-12-09,53054,2730,225
BXmEmIK5aqI,The 5 Stages of Data Science Adoption,2019-12-06,1178,64,17
SLC5sPZSLY4,How YOU Can Land a Sports Analytics Job,2019-12-02,59424,2691,222
EAezvs0eL1s,Data Science Fundamentals: Linear Regression,2019-11-29,5584,159,41
k4r_NtB4JVQ,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,899,45,12
ZWdyBbgGZBQ,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5122,241,26
1FrY7ARSf10,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,43627,1677,80
LGEuDWjWQes,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5801,136,31
fjVVtvp5X0w,Why Selling Is An Important Data Science Skill,2019-11-04,1532,74,13
-kX2b6TF_9k,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2555,69,18
3ysXGYjvbSU,Why is Balance Important in Data Science?,2019-10-16,664,32,13
akbU9KOo_Qc,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10963,548,56
3BEtGaz70rQ,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3045,99,29
RRXWJVX0fE8,6 Habits of Successful Data Scientists,2019-09-13,1877,88,17
k-gin1qfzi0,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3409,85,9
Zz_Mx1UPswI,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,513,24,29
3Mm1U1CbzNw,Is Data Science Right For You?,2019-08-18,47453,1111,109
4yI3vVe0Jos,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,12994,359,53
pWVQ0vN5uig,How To Get Data Science Experience (Without a Job),2019-08-08,27617,1315,71
a-Syoa9mPhM,Take Your Data Science Projects From Good to Great,2019-08-05,1524,104,11
yukdXV9LR48,The Projects You Should Do To Get A Data Science Job,2019-07-30,141672,5484,251
XWetgrNas-k,What Does a Data Scientist Actually Do?,2019-07-19,32033,1095,74
yIJrCFXs0rU,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11371,326,41
Z9dGmL2G-4k,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15881,483,61
T7BQJJIGrmc,Data Science: Pros and Cons,2019-06-30,4680,204,18
T77uVbLhroQ,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22285,1089,89
1Cf7SdnBncg,My Top 5 Data Science Internship Tips,2019-06-15,10418,445,19
3cDM9Z-fdz4,Golf STATS: Strokes Gained Explained,2019-06-07,5988,128,28
Yr5T3T4tq-g,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,581,44,5
KMOA5arCi8g,What I Learned From My Three Degrees,2019-05-17,1180,58,12
Z_KFh-HqaBA,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24954,1046,67
5jntoZX-Tc8,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1161,40,2
AxP1CL0yaFQ,Should You Learn R for Data Science?,2019-04-25,17994,503,69
zF_Q2v_9zKY,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44700,824,337
4CpmB4TR2C4,Work From Home Data Scientist: Day in the Life,2019-04-12,27666,754,103
6sJEnzDjJqI,Where to Look for Data Science Jobs,2019-03-29,2910,118,9
1UjMBw_7Gi8,Data Science: Startup vs. Large Corporation,2019-03-21,1917,71,4
q8cEt8gj3zY,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5523,155,25
_CS4u9cORwA,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3944,171,14
XTrlMQXYqts,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,742,30,12
smeFkHwnM_k,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1317,33,8
sq5TnVJWv6A,Where YOU Should Start With Data Science Projects,2019-02-19,12953,278,17
XoUyK3XHZHs,Watch This Before Applying to Data Science Jobs,2019-02-04,1414,62,13
tv1e22u2COk,My Top 5 Data Science Resources for 2019,2019-01-05,3595,117,17
j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,793,36,6
sCOX5yShmFA,The Best Way to Predict NBA Minutes Played,2018-12-11,3556,95,13
FBgs-BSTIJE,Demystifying Data Science Roles,2018-11-30,1082,51,5
irjTWNV0eAY,How to Simulate NBA Games in Python,2018-11-19,15625,354,54
RRSRKf9eQxc,Should You Get A Masters in Data Science?,2018-11-14,19824,295,141
IFceyuL6GZY,How I Became A Data Scientist From a Business Background,2018-11-12,6085,188,23
Y_SMU701qlA,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7814,177,17
qfRhKHV8-t4,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17879,272,41
